//Cycle : #inst 0  pc opcode reg regnum value
   17 :     #1 0 00000000 10110000001000000001000001110011 
   23 :     #2 0 00000004 10111000001000000001000001110011 
   29 :     #3 0 00000008 11101110000000000000000010110111 
   34 :     #4 0 0000000c 00110000010100001001000001110011 
   39 :     #5 0 00000010 01011111010101010101000010110111 
   45 :     #6 0 00000014 01010101010100001000000010010011 
   51 :     #7 0 00000018 01111100000000001001000001110011 
   56 :     #8 0 0000001c 11010000010110000000000110110111 
   61 :     #9 0 00000020 00000000000000010000001000010111 r4=00010000
   62 :    #10 0 00000024 11111110000000100000001000010011 
   63 :    #11 0 00000028 00000000000000100000001010000011 
   68 :    #12 0 0000002c 00000000010100011000000000100011 r4=00010001
   69 :    #13 0 00000030 00000000000000000000001000000101 r23=0000002d
   70 :    #14 0 00000032 11111110000000101001101111100011 
   72 :    #15 0 00000028 00000000000000100000001010000011 
   77 :    #16 0 0000002c 00000000010100011000000000100011 r4=00010002
   78 :    #17 0 00000030 00000000000000000000001000000101 r23=0000002d
   79 :    #18 0 00000032 11111110000000101001101111100011 
   80 :    #19 0 00000028 00000000000000100000001010000011 
   85 :    #20 0 0000002c 00000000010100011000000000100011 r4=00010003
   86 :    #21 0 00000030 00000000000000000000001000000101 r23=0000002d
   87 :    #22 0 00000032 11111110000000101001101111100011 
   89 :    #23 0 00000028 00000000000000100000001010000011 
   94 :    #24 0 0000002c 00000000010100011000000000100011 r4=00010004
   95 :    #25 0 00000030 00000000000000000000001000000101 r23=0000002d
   96 :    #26 0 00000032 11111110000000101001101111100011 
   98 :    #27 0 00000028 00000000000000100000001010000011 
  103 :    #28 0 0000002c 00000000010100011000000000100011 r4=00010005
  104 :    #29 0 00000030 00000000000000000000001000000101 r23=0000002d
  105 :    #30 0 00000032 11111110000000101001101111100011 
  107 :    #31 0 00000028 00000000000000100000001010000011 
  112 :    #32 0 0000002c 00000000010100011000000000100011 r4=00010006
  113 :    #33 0 00000030 00000000000000000000001000000101 r23=0000002d
  114 :    #34 0 00000032 11111110000000101001101111100011 
  116 :    #35 0 00000028 00000000000000100000001010000011 
  121 :    #36 0 0000002c 00000000010100011000000000100011 r4=00010007
  122 :    #37 0 00000030 00000000000000000000001000000101 r23=0000002d
  123 :    #38 0 00000032 11111110000000101001101111100011 
  125 :    #39 0 00000028 00000000000000100000001010000011 
  130 :    #40 0 0000002c 00000000010100011000000000100011 r4=00010008
  131 :    #41 0 00000030 00000000000000000000001000000101 r23=0000002d
  132 :    #42 0 00000032 11111110000000101001101111100011 
  134 :    #43 0 00000028 00000000000000100000001010000011 
  139 :    #44 0 0000002c 00000000010100011000000000100011 r4=00010009
  140 :    #45 0 00000030 00000000000000000000001000000101 r23=0000002d
  141 :    #46 0 00000032 11111110000000101001101111100011 
  143 :    #47 0 00000028 00000000000000100000001010000011 
  148 :    #48 0 0000002c 00000000010100011000000000100011 r4=0001000a
  149 :    #49 0 00000030 00000000000000000000001000000101 r23=0000002d
  150 :    #50 0 00000032 11111110000000101001101111100011 
  152 :    #51 0 00000028 00000000000000100000001010000011 
  157 :    #52 0 0000002c 00000000010100011000000000100011 r4=0001000b
  158 :    #53 0 00000030 00000000000000000000001000000101 r23=0000002d
  159 :    #54 0 00000032 11111110000000101001101111100011 
  160 :    #55 0 00000028 00000000000000100000001010000011 
  165 :    #56 0 0000002c 00000000010100011000000000100011 r4=0001000c
  166 :    #57 0 00000030 00000000000000000000001000000101 r23=0000002d
  167 :    #58 0 00000032 11111110000000101001101111100011 
  168 :    #59 0 00000028 00000000000000100000001010000011 
  173 :    #60 0 0000002c 00000000010100011000000000100011 r4=0001000d
  174 :    #61 0 00000030 00000000000000000000001000000101 r23=0000002d
  175 :    #62 0 00000032 11111110000000101001101111100011 
  176 :    #63 0 00000028 00000000000000100000001010000011 
  181 :    #64 0 0000002c 00000000010100011000000000100011 r4=0001000e
  182 :    #65 0 00000030 00000000000000000000001000000101 r23=0000002d
  183 :    #66 0 00000032 11111110000000101001101111100011 
  184 :    #67 0 00000028 00000000000000100000001010000011 
  189 :    #68 0 0000002c 00000000010100011000000000100011 r4=0001000f
  190 :    #69 0 00000030 00000000000000000000001000000101 r23=0000002d
  191 :    #70 0 00000032 11111110000000101001101111100011 
  192 :    #71 0 00000028 00000000000000100000001010000011 
  197 :    #72 0 0000002c 00000000010100011000000000100011 r4=00010010
  198 :    #73 0 00000030 00000000000000000000001000000101 r23=0000002d
  199 :    #74 0 00000032 11111110000000101001101111100011 
  200 :    #75 0 00000028 00000000000000100000001010000011 
  205 :    #76 0 0000002c 00000000010100011000000000100011 r4=00010011
  206 :    #77 0 00000030 00000000000000000000001000000101 r23=0000002d
  207 :    #78 0 00000032 11111110000000101001101111100011 
  208 :    #79 0 00000028 00000000000000100000001010000011 
  213 :    #80 0 0000002c 00000000010100011000000000100011 r4=00010012
  214 :    #81 0 00000030 00000000000000000000001000000101 r23=0000002d
  215 :    #82 0 00000032 11111110000000101001101111100011 
  216 :    #83 0 00000028 00000000000000100000001010000011 
  221 :    #84 0 0000002c 00000000010100011000000000100011 r4=00010013
  222 :    #85 0 00000030 00000000000000000000001000000101 r23=0000002d
  223 :    #86 0 00000032 11111110000000101001101111100011 
  224 :    #87 0 00000028 00000000000000100000001010000011 
  229 :    #88 0 0000002c 00000000010100011000000000100011 r4=00010014
  230 :    #89 0 00000030 00000000000000000000001000000101 r23=0000002d
  231 :    #90 0 00000032 11111110000000101001101111100011 
  232 :    #91 0 00000028 00000000000000100000001010000011 
  237 :    #92 0 0000002c 00000000010100011000000000100011 r4=00010015
  238 :    #93 0 00000030 00000000000000000000001000000101 r23=0000002d
  239 :    #94 0 00000032 11111110000000101001101111100011 
  240 :    #95 0 00000028 00000000000000100000001010000011 
  245 :    #96 0 0000002c 00000000010100011000000000100011 r4=00010016
  246 :    #97 0 00000030 00000000000000000000001000000101 r23=0000002d
  247 :    #98 0 00000032 11111110000000101001101111100011 
  248 :    #99 0 00000028 00000000000000100000001010000011 
  253 :   #100 0 0000002c 00000000010100011000000000100011 r4=00010017
  254 :   #101 0 00000030 00000000000000000000001000000101 r23=0000002d
  255 :   #102 0 00000032 11111110000000101001101111100011 
  256 :   #103 0 00000028 00000000000000100000001010000011 
  261 :   #104 0 0000002c 00000000010100011000000000100011 r4=00010018
  262 :   #105 0 00000030 00000000000000000000001000000101 r23=0000002d
  263 :   #106 0 00000032 11111110000000101001101111100011 
  264 :   #107 0 00000028 00000000000000100000001010000011 
  269 :   #108 0 0000002c 00000000010100011000000000100011 r4=00010019
  270 :   #109 0 00000030 00000000000000000000001000000101 r23=0000002d
