//Cycle : #inst 0  pc opcode reg regnum value
        17 :     #1 0 00000000 b0201073 
        23 :     #2 0 00000004 b8201073 
        29 :     #3 0 00000008 ee0000b7 
        34 :     #4 0 0000000c 30509073 
        39 :     #5 0 00000010 5f5550b7 
        45 :     #6 0 00000014 55508093 
        51 :     #7 0 00000018 7c009073 
        56 :     #8 0 0000001c d05801b7 
        61 :     #9 0 00000020 00010217 r4=00010000
        62 :    #10 0 00000024 fe020213 
        63 :    #11 0 00000028 00020283 
        68 :    #12 0 0000002c 00518023 r4=00010001
        69 :    #13 0 00000030 00000205 r23=0000002d
        70 :    #14 0 00000032 fe029be3 
        72 :    #15 0 00000028 00020283 
        77 :    #16 0 0000002c 00518023 r4=00010002
        78 :    #17 0 00000030 00000205 r23=0000002d
        79 :    #18 0 00000032 fe029be3 
        80 :    #19 0 00000028 00020283 
        85 :    #20 0 0000002c 00518023 r4=00010003
        86 :    #21 0 00000030 00000205 r23=0000002d
        87 :    #22 0 00000032 fe029be3 
        89 :    #23 0 00000028 00020283 
        94 :    #24 0 0000002c 00518023 r4=00010004
        95 :    #25 0 00000030 00000205 r23=0000002d
        96 :    #26 0 00000032 fe029be3 
        98 :    #27 0 00000028 00020283 
       103 :    #28 0 0000002c 00518023 r4=00010005
       104 :    #29 0 00000030 00000205 r23=0000002d
       105 :    #30 0 00000032 fe029be3 
       107 :    #31 0 00000028 00020283 
       112 :    #32 0 0000002c 00518023 r4=00010006
       113 :    #33 0 00000030 00000205 r23=0000002d
       114 :    #34 0 00000032 fe029be3 
       116 :    #35 0 00000028 00020283 
       121 :    #36 0 0000002c 00518023 r4=00010007
       122 :    #37 0 00000030 00000205 r23=0000002d
       123 :    #38 0 00000032 fe029be3 
       125 :    #39 0 00000028 00020283 
       130 :    #40 0 0000002c 00518023 r4=00010008
       131 :    #41 0 00000030 00000205 r23=0000002d
       132 :    #42 0 00000032 fe029be3 
       134 :    #43 0 00000028 00020283 
       139 :    #44 0 0000002c 00518023 r4=00010009
       140 :    #45 0 00000030 00000205 r23=0000002d
       141 :    #46 0 00000032 fe029be3 
       143 :    #47 0 00000028 00020283 
       148 :    #48 0 0000002c 00518023 r4=0001000a
       149 :    #49 0 00000030 00000205 r23=0000002d
       150 :    #50 0 00000032 fe029be3 
       152 :    #51 0 00000028 00020283 
       157 :    #52 0 0000002c 00518023 r4=0001000b
       158 :    #53 0 00000030 00000205 r23=0000002d
       159 :    #54 0 00000032 fe029be3 
       160 :    #55 0 00000028 00020283 
       165 :    #56 0 0000002c 00518023 r4=0001000c
       166 :    #57 0 00000030 00000205 r23=0000002d
       167 :    #58 0 00000032 fe029be3 
       168 :    #59 0 00000028 00020283 
       173 :    #60 0 0000002c 00518023 r4=0001000d
       174 :    #61 0 00000030 00000205 r23=0000002d
       175 :    #62 0 00000032 fe029be3 
       176 :    #63 0 00000028 00020283 
       181 :    #64 0 0000002c 00518023 r4=0001000e
       182 :    #65 0 00000030 00000205 r23=0000002d
       183 :    #66 0 00000032 fe029be3 
       184 :    #67 0 00000028 00020283 
       189 :    #68 0 0000002c 00518023 r4=0001000f
       190 :    #69 0 00000030 00000205 r23=0000002d
       191 :    #70 0 00000032 fe029be3 
       192 :    #71 0 00000028 00020283 
       197 :    #72 0 0000002c 00518023 r4=00010010
       198 :    #73 0 00000030 00000205 r23=0000002d
       199 :    #74 0 00000032 fe029be3 
